created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-22T15:39:14+00:00,130,23.4,0,12,25.123081,55.389198,-85,9.5,0,,,,
2025-11-22T15:39:29+00:00,131,24.1,0,6,25.123081,55.389198,-85,9.5,0,,,,
2025-11-22T15:39:44+00:00,132,24.1,0,6,25.123081,55.389198,-89,9.75,0,,,,
2025-11-22T15:39:59+00:00,133,24.0,0,7,25.123081,55.389198,-89,9.75,0,,,,
2025-11-22T15:40:14+00:00,134,24.0,0,7,25.123081,55.389198,-82,10.0,0,,,,
2025-11-22T15:40:29+00:00,135,23.7,0,8,25.123081,55.389198,-82,9.75,0,,,,
2025-11-22T15:40:44+00:00,136,23.8,0,8,25.123081,55.389198,-82,9.75,0,,,,
2025-11-22T15:40:59+00:00,137,23.8,0,8,25.123081,55.389198,-76,9.5,0,,,,
2025-11-22T15:41:14+00:00,138,23.4,0,5,25.123081,55.389198,-63,9.75,0,,,,
2025-11-22T15:41:29+00:00,139,23.7,0,7,25.123081,55.389198,-57,10.0,0,,,,
2025-11-22T15:41:44+00:00,140,23.4,0,6,25.123081,55.389198,-56,10.0,0,,,,
2025-11-22T15:41:59+00:00,141,23.4,0,6,25.123081,55.389198,-55,9.5,0,,,,
